date,hour,humidity,pressure,temperature
1,1,64,30.06,55.0
1,2,64,30.06,55.0
1,3,71,30.05,52.0
1,4,69,30.04,53.1
1,5,69,30.05,52.0
1,6,77,30.06,50.0
1,7,71,30.07,50.0
1,8,71,30.09,53.1
1,9,52,30.10,61.0
1,10,15,30.10,73.9
1,11,13,30.11,75.9
1,12,12,30.11,79.0
1,13,10,30.10,80.1
1,14,9,30.09,82.0
1,15,9,30.08,82.9
1,16,8,30.06,82.0
1,17,19,30.06,78.1
1,18,21,30.07,77.0
1,19,47,30.09,68.0
1,20,43,30.10,68.0
1,21,36,30.12,68.0
1,22,13,30.15,72.0
1,23,14,30.15,69.1
1,24,19,30.15,66.0
10,1,72,30.01,54.0
10,2,75,29.98,54.0
10,3,82,29.97,53.6
10,4,86,29.97,53.1
10,5,86,29.96,54.0
10,6,86,29.96,55.0
10,7,77,29.97,57.0
10,8,81,29.98,57.9
10,9,82,29.99,59.0
10,10,81,30.01,59.0
10,11,87,30.03,57.0
10,12,72,30.04,60.1
10,13,62,30.05,60.1
10,14,48,30.04,62.1
10,15,54,30.05,61.0
10,16,56,30.04,61.0
10,17,52,30.04,61.0
10,18,49,30.04,60.1
10,19,58,30.04,57.9
10,20,62,30.05,57.0
10,21,62,30.06,57.0
10,22,67,30.07,55.9
10,23,72,30.08,54.0
10,24,77,30.09,52.0
